Date	Dollar	Pound	Euro   Yen
23-Dec-2022	82.8685	99.7654	87.9025	62.4600
22-Dec-2022	82.6679	100.2470	88.0226	62.7200
21-Dec-2022	82.7736	100.6693	87.8443	62.6500
20-Dec-2022	82.7902	100.4466	87.7460	62.3000
19-Dec-2022	82.6405	100.6473	87.7670	60.7600
16-Dec-2022	82.8184	101.1903	88.2629	60.3500
15-Dec-2022	82.4822	102.2306	87.9046	60.8000
14-Dec-2022	82.5170	102.0295	87.7695	60.9100
13-Dec-2022	82.7154	101.6302	87.2835	60.1300
12-Dec-2022	82.6425	101.0272	86.8854	60.3100
09-Dec-2022	82.2092	100.8241	86.9313	60.4100
08-Dec-2022	82.2844	100.4045	86.5171	60.1700
07-Dec-2022	82.5391	100.0088	86.2820	59.9300
06-Dec-2022	82.2800	100.2000	86.2558	59.9400
05-Dec-2022	81.5855	100.5840	86.2718	60.6200
02-Dec-2022	81.1771	99.3099	85.4643	60.0700
01-Dec-2022	81.1512	98.1670	84.7467	59.4900
30-Nov-2022	81.5970	97.7543	84.4507	58.9500
29-Nov-2022	81.7121	98.0665	84.8248	58.9600
28-Nov-2022	81.7545	98.6880	84.7881	59.1300
25-Nov-2022	81.5289	98.6576	84.8732	58.7900
24-Nov-2022	81.7655	98.8420	85.3125	58.8600
23-Nov-2022	81.8165	97.2635	84.4924	57.8800
22-Nov-2022	81.7742	96.8828	83.8611	57.6600
21-Nov-2022	81.7732	96.7731	84.0819	58.1800
18-Nov-2022	81.6975	97.2271	84.7078	58.4200
17-Nov-2022	81.6335	97.1945	84.7726	58.5300
16-Nov-2022	81.3354	96.5836	84.4115	58.1700
15-Nov-2022	81.4280	95.8929	84.1309	58.0200
14-Nov-2022	81.2332	95.5059	83.7455	58.2700
11-Nov-2022	80.6483	94.4929	82.4661	56.9600
10-Nov-2022	81.7421	93.1827	82.0069	55.9100
09-Nov-2022	81.4800	93.9817	81.9759	55.8900
07-Nov-2022	82.2112	93.1327	81.7579	55.8400
04-Nov-2022	82.5287	92.5928	80.7191	55.7800
03-Nov-2022	82.8835	94.4369	81.3645	56.1600
02-Nov-2022	82.7650	95.2156	81.7856	56.1600
01-Nov-2022	82.7126	95.4382	82.1435	55.9300
31-Oct-2022	82.3934	95.5351	81.9232	55.7400
28-Oct-2022	82.4092	95.1129	82.1405	56.2500
25-Oct-2022	82.7626	93.4075	81.6988	55.5800
21-Oct-2022	82.8619	92.6606	80.9251	55.0900
20-Oct-2022	83.2042	93.3618	81.4192	55.4900
19-Oct-2022	82.3735	93.0974	81.0121	55.1600
18-Oct-2022	82.2279	93.3627	81.0153	55.2300
17-Oct-2022	82.4047	92.9976	80.2935	55.4200
14-Oct-2022	82.3877	93.3277	80.6845	55.8900
13-Oct-2022	82.4013	91.2001	79.9210	56.1100
12-Oct-2022	82.2411	90.4126	79.9718	56.2500
11-Oct-2022	82.3901	90.8252	79.7855	56.5100
10-Oct-2022	82.4028	91.3254	80.1554	56.7000
07-Oct-2022	82.4000	91.6942	80.5460	56.8200
06-Oct-2022	81.7044	92.5221	80.9603	56.5300
04-Oct-2022	81.4267	92.4714	80.2677	56.2200
03-Oct-2022	81.7417	91.8106	80.2409	56.4100
30-Sep-2022	81.5522	90.7703	80.1093	56.4400
29-Sep-2022	81.8633	88.2115	79.0952	56.5900
28-Sep-2022	81.9005	87.4681	78.3444	56.6000
27-Sep-2022	81.3720	87.9300	78.5837	56.3900
26-Sep-2022	81.5750	86.6153	78.7095	56.7100
23-Sep-2022	80.9165	90.9156	79.5064	56.9100
22-Sep-2022	80.7246	90.6387	79.2608	55.5700
21-Sep-2022	79.9226	90.8230	79.4079	55.6100
20-Sep-2022	79.6778	91.1647	79.9498	55.5800
19-Sep-2022	79.6657	90.8258	79.5244	55.5900
16-Sep-2022	79.8180	91.2320	79.7164	55.6000
15-Sep-2022	79.5830	91.6186	79.2726	55.4100
14-Sep-2022	79.5837	91.4024	79.3391	55.4000
13-Sep-2022	79.0640	92.6809	80.2268	55.6200
12-Sep-2022	79.6776	92.5742	80.3671	55.5600
09-Sep-2022	79.6358	92.3467	80.1832	55.7200
08-Sep-2022	79.6712	91.7483	79.7551	55.4900
07-Sep-2022	79.9220	91.7291	79.0700	55.4600
06-Sep-2022	79.8893	92.4569	79.5490	56.5900
05-Sep-2022	79.8936	91.5671	79.0483	56.9000
02-Sep-2022	79.7888	92.0720	79.5292	56.8500
01-Sep-2022	79.3970	92.0121	79.5494	56.9600
30-Aug-2022	79.7194	93.3546	79.7120	57.5400
