date, pm25, pm10, o3, no2, co
2021/10/1, 22, 28, 32, 7, 104
2021/10/2, 27, 30, 51, 11, 51
2021/10/3, 32, 30, 51, 12, 
2021/10/4, 34, 29, 51, 14, 
2021/10/5, 31, 26, 50, 13, 104
2021/10/6, 28, 27, 50, 13, 
2021/10/7, 28, 31, 48, 12, 51
2021/10/8, 34, 34, 48, , 
2021/10/9, 28, 17, 32, 12, 
2021/10/10, 22, 22, 61, 12, 
2021/10/11, 25, 25, 61, 10, 104
2021/10/12, 28, 39, 55, 10, 
2021/10/13, 40, 57, 55, 14, 
2021/10/14, 52, 55, 59, 13, 
2021/10/15, 60, 58, 59, 11, 51
2021/10/16, 61, 35, 51, 12, 104
2021/10/17, 42, 48, 57, 14, 51
2021/10/18, 51, 70, 57, 13, 51
2021/10/19, 70, 60, 67, 11, 51
2021/10/20, 61, 61, 73, 11, 51
2021/10/21, 61, 58, 61, 11, 51
2021/10/22, 58, 50, 76, 13, 51
2021/10/23, 51, 59, 76, 13, 51
2021/10/24, 58, 55, 55, 11, 51
2021/10/25, 56, 49, 55, 13, 51
2021/10/26, 50, 53, 69, 14, 
2021/10/27, 53, 78, 69, 12, 51
2021/10/28, 77, 87, 65, 12, 51
2021/10/29, 86, 77, 65, 12, 
2021/10/30, 75, 84, 63, 13, 51
2021/10/31, 83, 90, 84, 10, 51
2021/11/1, 89, 84, 84, 11, 
2021/11/2, 83, 79, 63, 13, 
2021/11/3, 78, 77, , 14, 
2021/11/4, 76, 60, 55, 14, 104
2021/11/5, 60, 53, 57, , 
2021/11/6, 53, 57, 57, 14, 
2021/11/7, 57, 61, 75, 13, 51
2021/11/8, 61, 79, 75, , 
2021/11/9, 77, 81, 73, 11, 51
2021/11/10, 80, 88, 73, 12, 51
2021/11/11, 87, 95, 73, 12, 51
2021/11/12, 94, 94, 73, 12, 51
2021/11/13, 92, 92, 67, 12, 51
2021/11/14, 90, 92, 67, 12, 
2021/11/15, 90, , , , 
2021/7/1, 31, 37, 55, 12, 
2021/7/2, 33, 35, 55, 12, 104
2021/7/3, 32, 37, 168, 13, 
2021/7/4, 38, 34, 168, 12, 104
2021/7/5, 33, 37, 63, 13, 
2021/7/6, 41, 43, 63, 14, 
2021/7/7, 43, 38, 60, 11, 51
2021/7/8, 39, 27, 57, 11, 51
2021/7/9, 29, 29, 55, 14, 51
2021/7/10, 31, 35, 55, 13, 51
